study,task_index,task_id,row_idx,pid,mesh_n,n_steps,ratio,transient,Tf,H0,P0,Ux,Uy,dpdx,dpdy,Hdot,Pdot,Qx_re,Qy_re,P_re,dP,dQx,dQy,dP_over_Pre,dQx_over_Qxre,dQy_over_Qyre,wall_time_s
ahratio,0,7488,7488,28368,40,10,0.0,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,189.15564756421372,4.542781058110592e-09,1.409804541557408e-09,5.726778636013276e-05,0.11021683471837976,0.29101511881826675,14.959219217300415
ahratio,0,7488,7488,28362,40,10,0.10555555555555556,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,132.66899523092434,4.381824518749879e-09,1.3879911263522036e-09,4.016617940481437e-05,0.10631171138783994,0.2865123431279841,10.083627462387085
ahratio,0,7488,7488,28363,40,10,0.2111111111111111,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,98.10831501148641,3.903728431153765e-09,1.3243839952334197e-09,2.970276646021412e-05,0.09471215666749838,0.27338241179738043,6.515944480895996
ahratio,0,7488,7488,28369,40,10,0.31666666666666665,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,79.09881744673476,3.1221015751138534e-09,1.2242985566796555e-09,2.3947549212565735e-05,0.07574834641523231,0.2527225437560091,9.28387999534607
ahratio,0,7488,7488,28368,40,10,0.4222222222222222,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,72.01725863711908,2.0587183273800554e-09,1.0960829022724855e-09,2.180357306261698e-05,0.04994856998785674,0.22625597140375586,8.677416801452637
ahratio,0,7488,7488,28363,40,10,0.5277777777777778,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,75.20815884321928,7.422228609259872e-10,9.503866478903935e-10,2.276963351945539e-05,0.018007791557735024,0.19618101311660072,6.534615755081177
ahratio,0,7488,7488,28365,40,10,0.6333333333333333,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,89.04571407381445,-7.935381947112871e-10,7.992020805927961e-10,2.6959020232972606e-05,-0.01925280283826661,0.16497314456554954,8.172268867492676
ahratio,0,7488,7488,28362,40,10,0.7388888888888889,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,117.48236837238073,-2.511436730521959e-09,6.547196035100879e-10,3.55683547367939e-05,-0.06093241199450035,0.13514873699985033,9.943302392959595
ahratio,0,7488,7488,28369,40,10,0.8444444444444444,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,175.24351017735898,-4.373113856870628e-09,5.280117989558932e-10,5.305581953840333e-05,-0.106100373538106,0.10899341850668803,8.28876781463623
ahratio,0,7488,7488,28363,40,10,0.95,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,336.66966234892607,-6.340977885634005e-09,4.2746428724436315e-10,0.00010192836717069804,-0.15384463891916014,0.08823816825384972,6.926259517669678
ahratio,1,5075,5075,28359,40,10,0.0,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,16.447551218792796,3.3860866027876905e-09,2.5206757479603065e-09,4.967196751986074e-06,0.06032899773570404,0.18737826350266068,9.997122049331665
