study,task_index,task_id,row_idx,pid,mesh_n,n_steps,ratio,transient,Tf,H0,P0,Ux,Uy,dpdx,dpdy,Hdot,Pdot,Qx_re,Qy_re,P_re,dP,dQx,dQy,dP_over_Pre,dQx_over_Qxre,dQy_over_Qyre,wall_time_s
mesh,0,7488,7488,28366,5,10,,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,7.650396008975804,2.913734065185826e-09,1.2478811369852651e-09,2.31619436085675e-06,0.07069293936200984,0.25759051460400834,15.188811540603638
mesh,0,7488,7488,28363,10,10,,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,28.850817730650306,2.69712232220234e-09,1.1837698946627936e-09,8.734724484253756e-06,0.0654375109429258,0.2443565234711311,14.116259098052979
mesh,0,7488,7488,28365,20,10,,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,51.33001031167805,2.6386999693048147e-09,1.1672238062655887e-09,1.5540408664746225e-05,0.06402006935135512,0.2409410415805913,15.927991151809692
mesh,0,7488,7488,28364,40,10,,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,74.212664143648,2.6239360169085415e-09,1.1630795213915904e-09,2.246824268861414e-05,0.06366186672608336,0.24008556869802342,21.874873161315918
mesh,0,7488,7488,28368,80,10,,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,97.25209591723979,2.6202541884679223e-09,1.1620451824013448e-09,2.9443541991908794e-05,0.06357253830115814,0.23987205804794978,42.624701261520386
mesh,0,7488,7488,28361,160,10,,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,120.34546897234395,2.619353456588526e-09,1.161788841662417e-09,3.64351722788427e-05,0.06355068476795742,0.23981914359889103,145.73074007034302
mesh,1,5075,5075,28358,5,10,,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,-20.453661552630365,2.3567569233081326e-09,2.3275219357268216e-09,-6.177050910433641e-06,0.041989706634439544,0.17301988124960171,1.2308638095855713
mesh,1,5075,5075,28362,10,10,,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,-15.442573647014797,2.2461004423039733e-09,2.243114349131058e-09,-4.66369130829116e-06,0.04001816976162452,0.16674531498872394,1.816626787185669
mesh,1,5075,5075,28359,20,10,,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,-9.810092031024396,2.216780398271552e-09,2.2209685380329824e-09,-2.962669434797808e-06,0.03949578239309519,0.16509907245603275,3.506927251815796
mesh,1,5075,5075,28367,40,10,,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,-3.9899705392308533,2.2093669485281484e-09,2.2153739449197904e-09,-1.2049799048713511e-06,0.039363698945372574,0.1646831898724033,11.300586462020874
mesh,1,5075,5075,28369,80,10,,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,1.8873641439713538,2.2075126957398784e-09,2.2139714600081484e-09,5.699881350749535e-07,0.03933066222027143,0.1645789340245241,31.161453008651733
mesh,1,5075,5075,28360,160,10,,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,7.781768906395882,2.2070534335316537e-09,2.2136204008974353e-09,2.35011137660363e-06,0.03932247966856195,0.16455283751187053,144.961443901062
mesh,2,9426,9426,28358,5,10,,1,0.05,4.781674286332391e-07,4618204.329008208,0.04992452949351958,-1.3804490804963177e-20,-4585437095.5768385,-2546670180.9703703,1.2867335399923327e-08,19151998.997608516,2.7005150604665836e-08,1.7220996766549812e-09,5575804.2788886335,9.601539527066052,6.0073152629520544e-09,1.3462469739417372e-09,1.7220008176075768e-06,0.2224507224897363,0.7817474169420303,13.3377685546875
mesh,2,9426,9426,28362,10,10,,1,0.05,4.781674286332391e-07,4618204.329008208,0.04992452949351958,-1.3804490804963177e-20,-4585437095.5768385,-2546670180.9703703,1.2867335399923327e-08,19151998.997608516,2.7005150604665836e-08,1.7220996766549812e-09,5575804.2788886335,78.36310207657516,5.691193651512524e-09,1.2979992441379133e-09,1.4054134283959203e-05,0.21074474772709556,0.7537306125387332,13.909072875976562
mesh,2,9426,9426,28359,20,10,,1,0.05,4.781674286332391e-07,4618204.329008208,0.04992452949351958,-1.3804490804963177e-20,-4585437095.5768385,-2546670180.9703703,1.2867335399923327e-08,19151998.997608516,2.7005150604665836e-08,1.7220996766549812e-09,5575804.2788886335,144.50626929476857,5.602761569973811e-09,1.2864927304283639e-09,2.59166681732185e-05,0.20747011012802088,0.747048935591961,12.954459190368652
mesh,2,9426,9426,28367,40,10,,1,0.05,4.781674286332391e-07,4618204.329008208,0.04992452949351958,-1.3804490804963177e-20,-4585437095.5768385,-2546670180.9703703,1.2867335399923327e-08,19151998.997608516,2.7005150604665836e-08,1.7220996766549812e-09,5575804.2788886335,207.02273989282548,5.580435751434245e-09,1.2837043939908701e-09,3.712876735588882e-05,0.20664338566843915,0.7454297863201198,12.02210521697998
mesh,2,9426,9426,28363,80,10,,1,0.05,4.781674286332391e-07,4618204.329008208,0.04992452949351958,-1.3804490804963177e-20,-4585437095.5768385,-2546670180.9703703,1.2867335399923327e-08,19151998.997608516,2.7005150604665836e-08,1.7220996766549812e-09,5575804.2788886335,268.7458259090781,5.574900266153783e-09,1.2830200303207487e-09,4.819857593040271e-05,0.2064384067975009,0.745032385589257,42.4669451713562
