study,task_index,task_id,row_idx,pid,mesh_n,n_steps,ratio,transient,Tf,H0,P0,Ux,Uy,dpdx,dpdy,Hdot,Pdot,Qx_re,Qy_re,P_re,dP,dQx,dQy,dP_over_Pre,dQx_over_Qxre,dQy_over_Qyre,wall_time_s
tsteps,0,7488,7488,28366,40,2,,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,516.0763206696138,2.6244740002750638e-09,1.163171721213115e-09,0.00015624459992714604,0.0636749192643921,0.2401046007987332,4.850515127182007
tsteps,0,7488,7488,28362,40,4,,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,74.57533112494275,2.623940459156581e-09,1.1630808634460454e-09,2.2578041869722976e-05,0.06366197450378862,0.24008584572801245,11.39458179473877
tsteps,1,5075,5075,28362,40,2,,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,179.9219629126601,2.209550090452822e-09,2.2153945888983035e-09,5.4336829714175515e-05,0.03936696193597354,0.1646847244739278,1.3150718212127686
tsteps,0,7488,7488,28365,40,8,,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,74.2126873228699,2.6239334497002863e-09,1.1630787087623744e-09,2.246824970623558e-05,0.06366180444054409,0.24008540095321848,14.471920013427734
tsteps,1,5075,5075,28362,40,4,,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,-3.932306486181915,2.20936923036702e-09,2.215375656055361e-09,-1.1875652336415227e-06,0.03936373960028435,0.1646833170722671,3.0993764400482178
tsteps,1,5075,5075,28365,40,8,,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,-3.9899679790250957,2.2093654256556395e-09,2.2153727778776435e-09,-1.2049791316835644e-06,0.03936367181276112,0.16468310311855125,5.826783657073975
tsteps,0,7488,7488,28366,40,16,,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,74.21263290708885,2.6239396066516883e-09,1.163080657695973e-09,2.2468233231594915e-05,0.0636619538203373,0.24008580325660595,21.019007205963135
tsteps,1,5075,5075,28362,40,16,,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,-3.9899740861728787,2.2093690801682326e-09,2.2153755784866148e-09,-1.2049809760556676e-06,0.039363736924232805,0.16468331130607644,12.04468035697937
tsteps,2,9426,9426,28364,40,2,,1,0.05,4.781674286332391e-07,4618204.329008208,0.04992452949351958,-1.3804490804963177e-20,-4585437095.5768385,-2546670180.9703703,1.2867335399923327e-08,19151998.997608516,2.7005150604665836e-08,1.7220996766549812e-09,5575804.2788886335,2176.2444598674774,5.583283882454031e-09,1.284107561667297e-09,0.00039030144370513043,0.2067488518834394,0.7456639003391237,5.409128189086914
tsteps,2,9426,9426,28366,40,4,,1,0.05,4.781674286332391e-07,4618204.329008208,0.04992452949351958,-1.3804490804963177e-20,-4585437095.5768385,-2546670180.9703703,1.2867335399923327e-08,19151998.997608516,2.7005150604665836e-08,1.7220996766549812e-09,5575804.2788886335,210.89533711224794,5.580436906261423e-09,1.2837043260291195e-09,3.782330343099552e-05,0.20664342843165845,0.7454297468556501,11.211259126663208
tsteps,2,9426,9426,28362,40,8,,1,0.05,4.781674286332391e-07,4618204.329008208,0.04992452949351958,-1.3804490804963177e-20,-4585437095.5768385,-2546670180.9703703,1.2867335399923327e-08,19151998.997608516,2.7005150604665836e-08,1.7220996766549812e-09,5575804.2788886335,207.02282512467355,5.580435118936215e-09,1.2837042715297723e-09,3.7128782641907446e-05,0.20664336224705412,0.745429715208616,12.781739234924316
tsteps,0,7488,7488,28359,40,32,,1,0.05,7.443516667275919e-07,2425738.1615623147,0.04959481690706843,0.0,-1523242915.781979,-1695785435.6711745,-2.046539365928914e-08,17545288.880666774,4.121676211912696e-08,4.844437454941313e-09,3303002.6055956534,74.21260887477547,2.6239423698846823e-09,1.1630815323752252e-09,2.2468225955695905e-05,0.06366202086182363,0.2400859838099231,35.84650659561157
tsteps,1,5075,5075,28368,40,32,,1,0.05,1.1279436265919205e-06,2592864.7777071455,0.04938853404485621,-1.1043592643970542e-19,-62348984.088506445,-1362667085.179093,-7.936244164604479e-08,14367386.253423663,5.6127015695202396e-08,1.3452338071883744e-08,3311234.0903783287,-3.989966339431703,2.209364160328071e-09,2.2153718082035965e-09,-1.204978636522743e-06,0.03936364926875886,0.16468303103635692,24.68680691719055
tsteps,3,4691,4691,28362,40,2,,1,0.05,2.100474915634826e-06,-4.982038469938676,0.048625215402397386,0.0,-2456.3279962230113,497.2777140016805,-4.668016598311965e-07,913501.7012965053,1.0100131163482606e-07,-3.7043401672436464e-14,45670.103026355326,-16.02348956917558,-6.156762927832774e-10,-6.456705354343096e-15,-0.00035085293238617697,-0.006095725717001355,0.17430109176899514,5.6925108432769775
tsteps,3,4691,4691,28359,40,4,,1,0.05,2.100474915634826e-06,-4.982038469938676,0.048625215402397386,0.0,-2456.3279962230113,497.2777140016805,-4.668016598311965e-07,913501.7012965053,1.0100131163482606e-07,-3.7043401672436464e-14,45670.103026355326,-16.02302197011886,-6.156858926462464e-10,-6.456696669323834e-15,-0.0003508426937612181,-0.0060958207639152375,0.17430085731376507,9.298412799835205
tsteps,2,9426,9426,28364,40,16,,1,0.05,4.781674286332391e-07,4618204.329008208,0.04992452949351958,-1.3804490804963177e-20,-4585437095.5768385,-2546670180.9703703,1.2867335399923327e-08,19151998.997608516,2.7005150604665836e-08,1.7220996766549812e-09,5575804.2788886335,207.02302409429103,5.5804300354361055e-09,1.2837032873248528e-09,3.71288183263769e-05,0.2066431740051819,0.7454291436941254,22.21431803703308
tsteps,3,4691,4691,28368,40,8,,1,0.05,2.100474915634826e-06,-4.982038469938676,0.048625215402397386,0.0,-2456.3279962230113,497.2777140016805,-4.668016598311965e-07,913501.7012965053,1.0100131163482606e-07,-3.7043401672436464e-14,45670.103026355326,-16.023017061845167,-6.156722459197092e-10,-6.4567089507069765e-15,-0.0003508425862888594,-0.00609568564956557,0.1743011888541363,10.352302074432373
tsteps,3,4691,4691,28362,40,16,,1,0.05,2.100474915634826e-06,-4.982038469938676,0.048625215402397386,0.0,-2456.3279962230113,497.2777140016805,-4.668016598311965e-07,913501.7012965053,1.0100131163482606e-07,-3.7043401672436464e-14,45670.103026355326,-16.023023134104733,-6.156861073535343e-10,-6.456696481438163e-15,-0.00035084271924804196,-0.006095822889702363,0.17430085224172354,15.466860294342041
tsteps,2,9426,9426,28363,40,32,,1,0.05,4.781674286332391e-07,4618204.329008208,0.04992452949351958,-1.3804490804963177e-20,-4585437095.5768385,-2546670180.9703703,1.2867335399923327e-08,19151998.997608516,2.7005150604665836e-08,1.7220996766549812e-09,5575804.2788886335,207.02286635059863,5.580433330657565e-09,1.2837039253073779e-09,3.712879003562556e-05,0.20664329602714385,0.7454295141619524,30.86805272102356
