study,task_index,task_id,row_idx,pid,mesh_n,n_steps,ratio,transient,Tf,H0,P0,Ux,Uy,dpdx,dpdy,Hdot,Pdot,Qx_re,Qy_re,P_re,dP,dQx,dQy,dP_over_Pre,dQx_over_Qxre,dQy_over_Qyre,wall_time_s
ahratio,0,7454,7454,7253,40,10,0.0,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,158.93557774089277,5.3932606359014065e-09,3.2229912169870814e-09,1.7995277897800945e-05,0.16242074448196187,0.8989337313606318,5.900737047195435
ahratio,0,7454,7454,7259,40,10,0.10555555555555556,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,98.59482164680958,5.28840084768222e-09,3.204681080377774e-09,1.116327281806559e-05,0.15926283945593592,0.8938267986028955,5.67735743522644
ahratio,0,7454,7454,7262,40,10,0.2111111111111111,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,54.025431422516704,4.974692419226488e-09,3.1509506227979513e-09,6.11696050573223e-06,0.14981535305765797,0.8788406824554565,6.21218729019165
ahratio,0,7454,7454,7253,40,10,0.31666666666666665,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,20.533237339928746,4.454399748152114e-09,3.0652738182821106e-09,2.3248495857605034e-06,0.13414647875518615,0.8549443189877094,5.941300392150879
ahratio,0,7454,7454,7259,40,10,0.4222222222222222,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,-4.897258851677179,3.73133777170822e-09,2.953183889807662e-09,-5.544858818021708e-07,0.11237110529393537,0.8236809953024291,5.921608924865723
ahratio,0,7454,7454,7260,40,10,0.5277777777777778,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,-24.17579337209463,2.810926554052252e-09,2.8218992277308778e-09,-2.737273342535706e-06,0.08465246061985954,0.7870640133730067,5.975933313369751
ahratio,0,7454,7454,7262,40,10,0.6333333333333333,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,-38.358207577839494,1.7002737505722724e-09,2.679826597803949e-09,-4.343059086179394e-06,0.05120459533380772,0.7474381283655316,5.872427463531494
ahratio,0,7454,7454,7253,40,10,0.7388888888888889,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,-47.580666644498706,4.0829332291118436e-10,2.53596196273497e-09,-5.387260240915098e-06,0.012295957853919843,0.707312430060251,6.026757001876831
ahratio,0,7454,7454,7259,40,10,0.8444444444444444,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,-50.340528920292854,-1.054122087609812e-09,2.3992047674371832e-09,-5.69974212394282e-06,-0.03174541447241776,0.6691690881822123,5.9042603969573975
ahratio,1,3001,3001,7260,40,10,0.0,1,0.05,1.8180005636251821e-06,1648314.6808490024,0.04916902173966586,-4.417437057588217e-19,241231598.7427407,-625560976.4590366,-2.1154745117273784e-07,9410819.353985082,7.830536511639212e-08,2.7394179598630346e-08,2118855.6485482566,-13.261278935242444,1.3230078271822705e-09,1.972381447953118e-09,-6.2586986255191426e-06,0.016895494008817506,0.07200001886720976,5.001810312271118
