study,task_index,task_id,row_idx,pid,mesh_n,n_steps,ratio,transient,Tf,H0,P0,Ux,Uy,dpdx,dpdy,Hdot,Pdot,Qx_re,Qy_re,P_re,dP,dQx,dQy,dP_over_Pre,dQx_over_Qxre,dQy_over_Qyre,wall_time_s
mesh,1,3001,3001,7264,5,10,,1,0.05,1.8180005636251821e-06,1648314.6808490024,0.04916902173966586,-4.417437057588217e-19,241231598.7427407,-625560976.4590366,-2.1154745117273784e-07,9410819.353985082,7.830536511639212e-08,2.7394179598630346e-08,2118855.6485482566,-11.372229987755418,7.234025011616165e-10,1.8226572159340917e-09,-5.3671565571477944e-06,0.009238223972091312,0.06653446982676645,0.607839822769165
mesh,0,7454,7454,7255,5,10,,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,-62.66690270602703,4.204711069174773e-09,3.087018112956897e-09,-7.095380060390725e-06,0.12662697916744944,0.8610090826286365,0.8152651786804199
mesh,0,7454,7454,7258,10,10,,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,-41.13390173390508,4.130322591025095e-09,3.02910540893121e-09,-4.6573335136403935e-06,0.12438673290129965,0.8448564841205769,1.0550172328948975
mesh,1,3001,3001,7256,10,10,,1,0.05,1.8180005636251821e-06,1648314.6808490024,0.04916902173966586,-4.417437057588217e-19,241231598.7427407,-625560976.4590366,-2.1154745117273784e-07,9410819.353985082,7.830536511639212e-08,2.7394179598630346e-08,2118855.6485482566,-11.725587824359536,6.799329673671808e-10,1.7563098717145561e-09,-5.533924801528304e-06,0.008683095549794538,0.06411251942738844,1.023559808731079
mesh,0,7454,7454,7259,20,10,,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,-17.591482277959585,4.110186579426918e-09,3.0139436922459936e-09,-1.991773124216442e-06,0.12378032682982175,0.8406276862008558,1.6210341453552246
mesh,2,196,196,7258,5,10,,1,0.05,3.677857697806265e-05,9907.652795847273,0.034649110900762815,0.0,1721946.528199804,-961790.5233820884,-1.4488632960838474e-07,23603.403879517464,5.610781206711171e-07,3.9825388798350867e-07,11087.822989823146,-0.0006868745385872899,-1.9233942415520747e-11,1.9600318892712037e-12,-6.194854835054016e-08,-3.428032872234375e-05,4.9215637270874975e-06,0.6342120170593262
mesh,2,196,196,7256,10,10,,1,0.05,3.677857697806265e-05,9907.652795847273,0.034649110900762815,0.0,1721946.528199804,-961790.5233820884,-1.4488632960838474e-07,23603.403879517464,5.610781206711171e-07,3.9825388798350867e-07,11087.822989823146,-0.0009037350155267632,-1.7557911635569424e-11,-3.5506637865409494e-13,-8.150698440588814e-08,-3.1293167544241515e-05,-8.915578463073232e-07,0.7588648796081543
mesh,2,196,196,7259,20,10,,1,0.05,3.677857697806265e-05,9907.652795847273,0.034649110900762815,0.0,1721946.528199804,-961790.5233820884,-1.4488632960838474e-07,23603.403879517464,5.610781206711171e-07,3.9825388798350867e-07,11087.822989823146,-0.0011184502036485355,-1.711758756012062e-11,-9.63269548435334e-13,-1.0087193894374888e-07,-3.0508385427052335e-05,-2.4187323149880266e-06,0.6188688278198242
mesh,1,3001,3001,7266,20,10,,1,0.05,1.8180005636251821e-06,1648314.6808490024,0.04916902173966586,-4.417437057588217e-19,241231598.7427407,-625560976.4590366,-2.1154745117273784e-07,9410819.353985082,7.830536511639212e-08,2.7394179598630346e-08,2118855.6485482566,-11.960198228713125,6.684858901441736e-10,1.7388852347730315e-09,-5.644649854702328e-06,0.008536910454993019,0.06347644865626756,2.166353225708008
mesh,3,4669,4669,7266,5,10,,1,0.05,1.49719019411537e-06,417535.85724704375,0.04876973257557759,-1.3804490804963177e-20,-357792057.37106216,-209675649.36662406,-2.1856354100655487e-07,9978976.511791907,8.178985743711489e-08,5.453127376139474e-09,916484.6828366391,-3.970547858509235,3.6958851076022897e-10,1.598683116497227e-10,-4.332366850060029e-06,0.004518757243762058,0.029316812284495182,1.1386594772338867
mesh,3,4669,4669,7266,10,10,,1,0.05,1.49719019411537e-06,417535.85724704375,0.04876973257557759,-1.3804490804963177e-20,-357792057.37106216,-209675649.36662406,-2.1856354100655487e-07,9978976.511791907,8.178985743711489e-08,5.453127376139474e-09,916484.6828366391,-4.249099526088685,2.5237645061172945e-10,1.4149167037416718e-10,-4.636301736039025e-06,0.003085669281252533,0.025946885266842197,1.0324203968048096
