study,task_index,task_id,row_idx,pid,mesh_n,n_steps,ratio,transient,Tf,H0,P0,Ux,Uy,dpdx,dpdy,Hdot,Pdot,Qx_re,Qy_re,P_re,dP,dQx,dQy,dP_over_Pre,dQx_over_Qxre,dQy_over_Qyre,wall_time_s
tsteps,0,7454,7454,7253,40,2,,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,1448.3675619736314,4.106333929582417e-09,3.010385284905844e-09,0.00016398956826624945,0.1236643023507141,0.8396352005958309,1.0740830898284912
tsteps,0,7454,7454,7253,40,4,,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,7.680258771404624,4.105109594238182e-09,3.01012602146974e-09,8.695874950274878e-07,0.12362743087879183,0.8395628886866969,2.592909097671509
tsteps,0,7454,7454,7253,40,8,,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,6.504515506327152,4.105106146593196e-09,3.010123896550218e-09,7.364654647541286e-07,0.12362732705123683,0.8395622960192938,4.900076866149902
tsteps,0,7454,7454,7253,40,16,,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,6.504482029005885,4.105108443767037e-09,3.010125691673001e-09,7.364616743271642e-07,0.12362739623177724,0.8395627967021417,10.165647029876709
tsteps,0,7454,7454,7253,40,32,,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,6.5045293644070625,4.105104953642376e-09,3.0101229643226745e-09,7.364670338175357e-07,0.12362729112492556,0.8395620360090338,18.09722352027893
tsteps,1,3001,3001,7262,40,2,,1,0.05,1.8180005636251821e-06,1648314.6808490024,0.04916902173966586,-4.417437057588217e-19,241231598.7427407,-625560976.4590366,-2.1154745117273784e-07,9410819.353985082,7.830536511639212e-08,2.7394179598630346e-08,2118855.6485482566,22.726457822602242,6.656359500034607e-10,1.7344756900732125e-09,1.072581694660199e-05,0.008500515245846408,0.06331548217490451,0.9516613483428955
tsteps,1,3001,3001,7262,40,4,,1,0.05,1.8180005636251821e-06,1648314.6808490024,0.04916902173966586,-4.417437057588217e-19,241231598.7427407,-625560976.4590366,-2.1154745117273784e-07,9410819.353985082,7.830536511639212e-08,2.7394179598630346e-08,2118855.6485482566,-12.168042397592217,6.65593634140315e-10,1.73448374415699e-09,-5.742742506281259e-06,0.008499974850394797,0.06331577618202192,2.1804845333099365
tsteps,1,3001,3001,7262,40,8,,1,0.05,1.8180005636251821e-06,1648314.6808490024,0.04916902173966586,-4.417437057588217e-19,241231598.7427407,-625560976.4590366,-2.1154745117273784e-07,9410819.353985082,7.830536511639212e-08,2.7394179598630346e-08,2118855.6485482566,-12.170891379471868,6.655864123342039e-10,1.7344727764438377e-09,-5.744087091449957e-06,0.008499882624196754,0.06331537581547278,4.116161584854126
tsteps,1,3001,3001,7255,40,16,,1,0.05,1.8180005636251821e-06,1648314.6808490024,0.04916902173966586,-4.417437057588217e-19,241231598.7427407,-625560976.4590366,-2.1154745117273784e-07,9410819.353985082,7.830536511639212e-08,2.7394179598630346e-08,2118855.6485482566,-12.170890986919403,6.655935860492121e-10,1.7344836769879523e-09,-5.7440869061836955e-06,0.008499974236246547,0.06331577373007634,8.986915588378906
tsteps,1,3001,3001,7262,40,32,,1,0.05,1.8180005636251821e-06,1648314.6808490024,0.04916902173966586,-4.417437057588217e-19,241231598.7427407,-625560976.4590366,-2.1154745117273784e-07,9410819.353985082,7.830536511639212e-08,2.7394179598630346e-08,2118855.6485482566,-12.170890816487372,6.655968256255306e-10,1.7344885995632795e-09,-5.7440868257478095e-06,0.008500015607311144,0.06331595342428142,17.470253467559814
tsteps,2,196,196,7262,40,2,,1,0.05,3.677857697806265e-05,9907.652795847273,0.034649110900762815,0.0,1721946.528199804,-961790.5233820884,-1.4488632960838474e-07,23603.403879517464,5.610781206711171e-07,3.9825388798350867e-07,11087.822989823146,-0.0013008951391384471,-1.6812897749149903e-11,-1.3841249373509132e-12,-1.1732647069965506e-07,-2.9965341954592082e-05,-3.475483803458131e-06,0.5188679695129395
tsteps,2,196,196,7262,40,4,,1,0.05,3.677857697806265e-05,9907.652795847273,0.034649110900762815,0.0,1721946.528199804,-961790.5233820884,-1.4488632960838474e-07,23603.403879517464,5.610781206711171e-07,3.9825388798350867e-07,11087.822989823146,-0.001333463167611626,-1.696937582495798e-11,-1.1679773345647497e-12,-1.2026374959588846e-07,-3.02442301700529e-05,-2.932745592211556e-06,0.9557130336761475
tsteps,2,196,196,7262,40,8,,1,0.05,3.677857697806265e-05,9907.652795847273,0.034649110900762815,0.0,1721946.528199804,-961790.5233820884,-1.4488632960838474e-07,23603.403879517464,5.610781206711171e-07,3.9825388798350867e-07,11087.822989823146,-0.0013329551984497812,-1.7001706060456184e-11,-1.1233184721035193e-12,-1.2021793634992385e-07,-3.0301851799389527e-05,-2.8206089281168168e-06,1.853187084197998
tsteps,2,196,196,7262,40,16,,1,0.05,3.677857697806265e-05,9907.652795847273,0.034649110900762815,0.0,1721946.528199804,-961790.5233820884,-1.4488632960838474e-07,23603.403879517464,5.610781206711171e-07,3.9825388798350867e-07,11087.822989823146,-0.001332952993834624,-1.701229218061042e-11,-1.108695506319204e-12,-1.2021773751782136e-07,-3.0320719261449135e-05,-2.7838912306240036e-06,3.638897180557251
tsteps,0,7454,7454,7253,40,64,,1,0.05,7.406230565847218e-07,7993562.465380261,0.04994994312274025,2.7608981609926354e-20,1803541076.414246,-1694631680.9127252,1.0883543031837735e-08,16770177.008256204,3.320549141123024e-08,3.585349069178594e-09,8832071.315793071,6.504496993497014,4.1051073746162164e-09,3.010124856187017e-09,7.364633686625691e-07,0.12362736403376495,0.8395625636743479,35.98059868812561
tsteps,2,196,196,7262,40,32,,1,0.05,3.677857697806265e-05,9907.652795847273,0.034649110900762815,0.0,1721946.528199804,-961790.5233820884,-1.4488632960838474e-07,23603.403879517464,5.610781206711171e-07,3.9825388798350867e-07,11087.822989823146,-0.0013329529538168572,-1.7017068103673955e-11,-1.1020983650632233e-12,-1.2021773390865778e-07,-3.0329231307967403e-05,-2.7673260659011073e-06,7.261916875839233
tsteps,3,4669,4669,7261,40,2,,1,0.05,1.49719019411537e-06,417535.85724704375,0.04876973257557759,-1.3804490804963177e-20,-357792057.37106216,-209675649.36662406,-2.1856354100655487e-07,9978976.511791907,8.178985743711489e-08,5.453127376139474e-09,916484.6828366391,9.47706830187235,2.1363763356702375e-10,1.3553847682866148e-10,1.0340672876866412e-05,0.002612030883307036,0.024855182628177586,0.8443338871002197
tsteps,3,4669,4669,7262,40,4,,1,0.05,1.49719019411537e-06,417535.85724704375,0.04876973257557759,-1.3804490804963177e-20,-357792057.37106216,-209675649.36662406,-2.1856354100655487e-07,9978976.511791907,8.178985743711489e-08,5.453127376139474e-09,916484.6828366391,-4.778363537159748,2.1362562816371734e-10,1.3553907827839082e-10,-5.213795305743782e-06,0.0026118840997854283,0.024855292922635767,2.20680832862854
tsteps,3,4669,4669,7261,40,8,,1,0.05,1.49719019411537e-06,417535.85724704375,0.04876973257557759,-1.3804490804963177e-20,-357792057.37106216,-209675649.36662406,-2.1856354100655487e-07,9978976.511791907,8.178985743711489e-08,5.453127376139474e-09,916484.6828366391,-4.780673812027089,2.136339636210866e-10,1.3554044481063307e-10,-5.216316106048039e-06,0.0026119860128786952,0.024855543518697072,4.669803619384766
tsteps,1,3001,3001,7255,40,64,,1,0.05,1.8180005636251821e-06,1648314.6808490024,0.04916902173966586,-4.417437057588217e-19,241231598.7427407,-625560976.4590366,-2.1154745117273784e-07,9410819.353985082,7.830536511639212e-08,2.7394179598630346e-08,2118855.6485482566,-12.170891219284385,6.65592210512175e-10,1.7344815868431651e-09,-5.744087015849016e-06,0.008499956669927368,0.06331569743121221,30.304754734039307
tsteps,3,4669,4669,7262,40,16,,1,0.05,1.49719019411537e-06,417535.85724704375,0.04876973257557759,-1.3804490804963177e-20,-357792057.37106216,-209675649.36662406,-2.1856354100655487e-07,9978976.511791907,8.178985743711489e-08,5.453127376139474e-09,916484.6828366391,-4.78067398944404,2.1362545955498e-10,1.355390510611154e-10,-5.216316299632235e-06,0.002611882038298312,0.02485528793150434,8.505999565124512
tsteps,2,196,196,7253,40,64,,1,0.05,3.677857697806265e-05,9907.652795847273,0.034649110900762815,0.0,1721946.528199804,-961790.5233820884,-1.4488632960838474e-07,23603.403879517464,5.610781206711171e-07,3.9825388798350867e-07,11087.822989823146,-0.0013329529319889843,-1.701934235166783e-11,-1.0989568684631998e-12,-1.2021773194002308e-07,-3.0333284661520293e-05,-2.7594378903055593e-06,15.087280511856079
tsteps,4,4810,4810,7262,40,2,,1,0.05,1.3937749191475371e-06,500419.04200208245,0.04887656202194275,-1.3804490804963177e-20,-419331609.2117332,-265390367.12044048,-1.9562952586489066e-07,10859095.225528138,7.638941056244687e-08,5.534341755425761e-09,1043373.8032784894,18.32724190794397,3.1699017201468885e-10,1.73781327652591e-10,1.756536521269377e-05,0.004149661185768092,0.03140054144329254,0.907313346862793
tsteps,4,4810,4810,7253,40,4,,1,0.05,1.3937749191475371e-06,500419.04200208245,0.04887656202194275,-1.3804490804963177e-20,-419331609.2117332,-265390367.12044048,-1.9562952586489066e-07,10859095.225528138,7.638941056244687e-08,5.534341755425761e-09,1043373.8032784894,-2.221723182941787,3.1697245060860387e-10,1.7378191636857213e-10,-2.1293645440978946e-06,0.004149429198036356,0.03140064781836064,2.265843629837036
tsteps,4,4810,4810,7262,40,8,,1,0.05,1.3937749191475371e-06,500419.04200208245,0.04887656202194275,-1.3804490804963177e-20,-419331609.2117332,-265390367.12044048,-1.9562952586489066e-07,10859095.225528138,7.638941056244687e-08,5.534341755425761e-09,1043373.8032784894,-2.225628145970404,3.169815810076779e-10,1.7378354479481554e-10,-2.1331071749904347e-06,0.004149548722444344,0.03140094205863624,5.007432460784912
