task_id,pid,avg_u
0.000000000000000000e+00,4.028400000000000000e+04,9.721292052713493594e-04
1.000000000000000000e+00,4.028600000000000000e+04,2.465274333262545622e-02
2.000000000000000000e+00,4.028500000000000000e+04,9.840783434417037581e-03
3.000000000000000000e+00,4.028300000000000000e+04,1.721352247343269429e-02
4.000000000000000000e+00,4.028500000000000000e+04,6.059175627364716578e-03
5.000000000000000000e+00,4.028400000000000000e+04,1.005687866229303257e-01
6.000000000000000000e+00,4.028500000000000000e+04,1.453065822130500569e-02
7.000000000000000000e+00,4.028400000000000000e+04,3.042198028411085414e-02
8.000000000000000000e+00,4.028500000000000000e+04,2.602654457409353181e-02
9.000000000000000000e+00,4.028400000000000000e+04,2.862116213080329909e-03
1.000000000000000000e+01,4.028300000000000000e+04,1.908949007172787773e-02
1.100000000000000000e+01,4.028500000000000000e+04,4.398745551038037160e-02
1.200000000000000000e+01,4.028300000000000000e+04,1.856827595034652584e-02
1.300000000000000000e+01,4.028400000000000000e+04,6.187331620063014903e-02
1.400000000000000000e+01,4.028500000000000000e+04,4.441148309540645517e-03
1.500000000000000000e+01,4.028600000000000000e+04,1.095133396426756223e-02
1.600000000000000000e+01,4.028300000000000000e+04,9.201292749002512594e-02
1.700000000000000000e+01,4.028400000000000000e+04,8.071469475891809853e-03
1.800000000000000000e+01,4.028500000000000000e+04,4.601475246686346533e-03
1.900000000000000000e+01,4.028600000000000000e+04,1.082469528259774865e-03
2.000000000000000000e+01,4.028300000000000000e+04,5.773695685158146060e-03
2.100000000000000000e+01,4.028500000000000000e+04,6.976915285721052920e-03
2.200000000000000000e+01,4.028400000000000000e+04,4.360887849665903530e-03
2.300000000000000000e+01,4.028600000000000000e+04,1.523520875257592527e-02
2.400000000000000000e+01,4.028500000000000000e+04,3.185274671293451907e-03
2.500000000000000000e+01,4.028300000000000000e+04,1.629069722542387730e-02
2.600000000000000000e+01,4.028400000000000000e+04,3.088039164854916238e-02
2.700000000000000000e+01,4.028600000000000000e+04,4.875834146754087946e-04
2.800000000000000000e+01,4.028500000000000000e+04,7.308150889174937041e-04
2.900000000000000000e+01,4.028400000000000000e+04,6.912170033327826209e-03
3.000000000000000000e+01,4.028300000000000000e+04,1.164415555788134576e-01
3.100000000000000000e+01,4.028500000000000000e+04,1.009927697662371150e-02
3.200000000000000000e+01,4.028600000000000000e+04,1.815392251421460434e-02
3.300000000000000000e+01,4.028400000000000000e+04,2.367268027444573587e-03
3.400000000000000000e+01,4.028300000000000000e+04,9.683943285740806428e-02
3.500000000000000000e+01,4.028500000000000000e+04,3.987481599594824844e-02
3.600000000000000000e+01,4.028300000000000000e+04,1.997650510873917942e-03
3.700000000000000000e+01,4.028600000000000000e+04,2.899057040012611736e-03
3.800000000000000000e+01,4.028500000000000000e+04,1.892153449401533238e-02
3.900000000000000000e+01,4.028400000000000000e+04,2.887645032663510667e-03
4.000000000000000000e+01,4.028300000000000000e+04,3.836588173699395730e-03
4.100000000000000000e+01,4.028500000000000000e+04,7.812115879416567030e-03
4.200000000000000000e+01,4.028600000000000000e+04,1.798009193003667974e-02
